bus,county,latitude,longitude,area[m^2],name,year,gentype,axis,azimuth[deg],tilt[deg],battery,capacity[MW],p_tech_sec
9q613c,San Luis Obispo CA,35.319611,-120.69101,62128,Stenner Creek Solar,2018,PV,SINGLE_AXIS,180,0.0,,4.5,c-si
9q613c,San Luis Obispo CA,35.596047,-120.689531,30594,Firestone Walker Brewery-Phase 1,2020,PV,SINGLE_AXIS,180,0.0,,1.6,c-si
9q613c,San Luis Obispo CA,35.4706,-120.634865,23468,Atascadero State Hospital,2020,PV,SINGLE_AXIS,180,0.0,,1.1,c-si
9q613c,San Luis Obispo CA,35.321552,-120.69217,31478,CA-DGS-California Men's Colony,2022,PV,FIXED_TILT,180,,,2.2,
9q713t,Kern CA,34.91039,-118.391826,1833134,"Valentine Solar, LLC",2019,PV,SINGLE_AXIS,180,0.0,,111.2,thin-film
9q713t,Kern CA,34.915421,-118.35518,3711258,"BigBeau Solar, LLC",2022,PV,SINGLE_AXIS,180,,batteries,128.0,c-si
9q713t,Kern CA,34.836239,-118.147733,24842,City of Rosamond (CA),2023,PV,SINGLE_AXIS,180,,,1.0,
9q713t,Kern CA,34.84588,-118.543361,84711,"RE Gaskell West 5, LLC",2018,PV,SINGLE_AXIS,180,,,20.0,
9q713t,Kern CA,34.843833,-118.53007,413074,"RE Gaskell West 4, LLC",2023,PV,SINGLE_AXIS,180,,,20.0,
9q713t,Kern CA,34.873741,-118.353732,1760494,"Rabbitbrush Solar, LLC",2022,PV,SINGLE_AXIS,180,,batteries,100.0,thin-film
9q713t,Santa Barbara CA,34.901577,-119.590942,951940,"Cuyama Solar, LLC",2017,PV,SINGLE_AXIS,180,0.0,,40.0,thin-film
9q713t,Kern CA,34.825784,-118.582129,1024295,"RE Gaskell West 3, LLC",2023,PV,SINGLE_AXIS,180,,,20.0,
9q713t,Kern CA,34.829087,-118.568594,892210,"RE Gaskell West 2, LLC",2023,PV,SINGLE_AXIS,180,,,45.0,
9q713t,Kern CA,35.575751,-119.786573,31971,Wonderful Huller & Shellling,2021,PV,SINGLE_AXIS,180,,batteries,1.5,
9q713t,Kern CA,34.829726,-118.441152,5326092,Solar Star 2,2015,PV,SINGLE_AXIS,180,0.0,,279.5,c-si
9q713t,Kern CA,35.501224,-119.748744,121538,Wonderful Orchards-Belridge,2020,PV,SINGLE_AXIS,180,,,5.0,
9q713t,Kern CA,34.836923,-118.550114,689009,Gaskell West 1 Solar Facility,2018,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,34.825924,-118.332041,2455254,"Willow Spring Solar, LLC",2019,PV,SINGLE_AXIS,180,,,100.0,thin-film
9q713t,Kern CA,34.944318,-118.087282,3775067,Edwards Sanborn E2,2021,PV,SINGLE_AXIS,180,,batteries,137.8,thin-film
9q713t,Kern CA,35.762638,-119.313552,78305,Kern Valley SP,2023,PV,SINGLE_AXIS,180,,,3.0,
9q713t,Kern CA,35.442009,-119.093343,16709,"Calibrant Bakersfield, LLC",2022,PV,SINGLE_AXIS,180,,,1.3,c-si
9q713t,Kern CA,35.081223,-119.318176,130124,Wheeler Ridge,2023,PV,SINGLE_AXIS,180,,,4.5,
9q713t,Kern CA,35.012711,-118.182571,432557,"RE Columbia Two, LLC",2014,PV,SINGLE_AXIS,180,0.0,,15.0,c-si
9q713t,Kern CA,35.02331,-118.172402,399686,"RE Camelot, LLC",2014,PV,SINGLE_AXIS,180,0.0,,45.0,c-si
9q713t,Kern CA,35.018581,-118.124089,3165884,Edwards Sanborn S1,2021,PV,SINGLE_AXIS,180,,batteries,44.6,thin-film
9q713t,Kern CA,34.991851,-118.100955,512762,Edwards Sanborn S3,2022,PV,SINGLE_AXIS,180,,batteries,37.7,thin-film
9q713t,Kern CA,34.973444,-118.08851,2104864,Edwards Sanborn S4,2022,PV,SINGLE_AXIS,180,,batteries,41.2,thin-film
9q713t,Kern CA,34.96308,-118.096328,4644531,Edwards Sanborn E1A,2021,PV,SINGLE_AXIS,180,,batteries,149.3,thin-film
9q713t,Kern CA,34.942287,-118.135456,1596217,Edwards Sanborn E3,2021,PV,SINGLE_AXIS,180,,batteries,27.4,
9q713t,Santa Barbara CA,34.745094,-120.510241,383598,Vandenberg Solar Project,2017,PV,SINGLE_AXIS,180,0.0,,20.6,c-si
9q713t,Kern CA,34.830259,-118.392372,490247,"Solar Star California, XLI, LLC",2016,PV,SINGLE_AXIS,180,0.0,,54.0,c-si
9q713t,Kern CA,34.840448,-118.391134,1273265,"Golden Fields Solar I, LLC",2016,PV,SINGLE_AXIS,180,0.0,,54.0,c-si
9q713t,Kern CA,35.734373,-119.732276,133457,Wonderful Orchards-Westside,2021,PV,SINGLE_AXIS,180,,,5.0,
9q713t,Kern CA,35.692748,-119.989681,130218,Berrenda Mesa Water District,2022,PV,SINGLE_AXIS,180,,,6.4,
9q713t,Kern CA,34.830055,-118.371047,3986939,"Golden Field Solar III, LLC",2020,PV,SINGLE_AXIS,180,0.0,,192.0,c-si
9q713t,Kern CA,35.3268,-118.978771,111509,Bakersfield PV 1,2017,PV,SINGLE_AXIS,180,0.0,,5.25,c-si
9q713t,Kern CA,35.213746,-119.39509,60114,Eagle Creek,2019,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q713t,Kern CA,35.24881,-117.973623,2994264,Springbok Solar Farm 2,2016,PV,SINGLE_AXIS,179,0.0,,155.0,c-si
9q713t,Kern CA,35.248541,-118.009058,1217175,Hecate Energy Beacon Solar 3,2016,PV,SINGLE_AXIS,180,0.0,,56.0,c-si
9q713t,Kern CA,35.251658,-117.956571,2329550,Springbok Solar Farm 1,2016,PV,SINGLE_AXIS,179,0.0,,105.0,c-si
9q713t,Kern CA,35.259453,-117.998736,898395,Beacon Solar Plant Site 2,2017,PV,SINGLE_AXIS,180,0.0,,45.0,c-si
9q713t,Kern CA,35.268579,-118.014746,1225168,Hecate Energy Beacon Solar 1,2017,PV,SINGLE_AXIS,180,0.0,,56.0,c-si
9q713t,Kern CA,35.251895,-118.025072,968727,Hecate Energy Beacon Solar 4,2016,PV,SINGLE_AXIS,180,0.0,,50.0,c-si
9q713t,Kern CA,35.247032,-118.034774,678687,Beacon Solar Plant Site 5,2017,PV,SINGLE_AXIS,180,0.0,,36.0,c-si
9q713t,Kern CA,35.323547,-118.820816,292174,Woodmere Solar Farm,2015,PV,SINGLE_AXIS,180,0.0,,14.99,thin-film
9q713t,Kern CA,35.1246,-119.240648,495014,"Algonquin SKIC 20 Solar, LLC",2015,PV,SINGLE_AXIS,180,0.0,,22.0,c-si
9q713t,Kern CA,35.61905,-119.568936,518004,"Wildwood Solar I, LLC",2015,PV,SINGLE_AXIS,179,0.0,,20.0,c-si
9q713t,Kern CA,35.416024,-119.638251,497758,Pumpjack Solar I,2015,PV,SINGLE_AXIS,179,0.0,,20.0,c-si
9q713t,Kern CA,35.148877,-118.885279,299602,Orion Solar II,2014,PV,SINGLE_AXIS,180,0.0,,8.0,c-si
9q713t,Kern CA,35.146166,-118.887207,345018,Orion Solar I,2014,PV,SINGLE_AXIS,180,0.0,,12.0,c-si
9q713t,Kern CA,34.982066,-117.892042,28742,EAFB-North Base,2012,PV,SINGLE_AXIS,180,0.0,,1.1,c-si
9q713t,Kern CA,35.608789,-119.844433,389390,Blackwell Solar Park,2019,PV,SINGLE_AXIS,179,0.0,,20.0,c-si
9q713t,Kern CA,34.829497,-118.470955,3067334,RE Astoria 2,2016,PV,SINGLE_AXIS,180,0.0,,75.0,c-si
9q713t,Kern CA,34.907637,-117.920591,28966,Edwards Air Force Base,2011,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q713t,Kern CA,35.048908,-118.163909,4603,"RE Rio Grande Solar, LLC",2013,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9q713t,Kern CA,35.634879,-117.652331,202780,Naval Air Weapons Station China Lake,2012,PV,SINGLE_AXIS,180,0.0,,11.12,c-si
9q713t,Kern CA,35.299856,-118.846316,1703174,Regulus Solar Project,2014,PV,SINGLE_AXIS,180,0.0,,60.0,c-si
9q713t,Kern CA,34.929474,-118.333067,2210754,"Catalina Solar, LLC",2012,PV,FIXED_TILT,180,20.0,,110.0,thin-film
9q713t,Kern CA,35.229696,-118.193516,124781,Pine Tree Solar Project,2013,PV,FIXED_TILT,180,30.0,,8.5,c-si
9q713t,Kern CA,35.647639,-119.716317,27556,Nickel 1 Solar Facility,2012,PV,FIXED_TILT,180,25.0,,1.5,c-si
9q713t,Kern CA,35.402755,-119.038053,19331,Improvement Dst No. 4,2009,PV,FIXED_TILT,180,22.0,,1.1,c-si
9q713t,Kern CA,35.103963,-118.954207,516716,Adobe Solar,2014,PV,SINGLE_AXIS,180,0.0,,19.57,c-si
9q713t,Kern CA,34.904113,-118.251246,491624,"RE Rosamond One, LLC",2014,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.017969,-118.171566,1135055,"RE Columbia 3, LLC",2014,PV,SINGLE_AXIS,180,0.0,,10.0,c-si
9q713t,Kern CA,34.903488,-118.242989,501866,"RE Rosamond Two, LLC",2014,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.020441,-118.278367,569869,SEPV Mojave West,2016,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.31479,-118.988977,33762,Bakersfield 111,2015,PV,SINGLE_AXIS,180,0.0,,1.4,c-si
9q713t,Kern CA,35.218894,-119.0791,595953,"RE Old River One, LLC",2014,PV,SINGLE_AXIS,180,0.0,,19.65,thin-film
9q713t,Kern CA,35.625756,-119.854284,921006,Lost Hills/Blackwell,2015,PV,SINGLE_AXIS,180,0.0,,32.0,thin-film
9q713t,Kern CA,35.283293,-118.010494,2150141,Springbok 3 Solar Farm Hybrid,2019,PV,SINGLE_AXIS,179,0.0,batteries,90.0,c-si
9q713t,Kern CA,34.821143,-118.497643,863794,RE Garland A,2016,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.127755,-119.249344,220387,"Algonquin SKIC 10 Solar, LLC",2017,PV,SINGLE_AXIS,180,0.0,,10.0,c-si
9q713t,Kern CA,35.590887,-119.404787,36274,CDCR (CA)-Wasco State Prison,2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q713t,Kern CA,35.329997,-118.993189,17202,Bakersfield Industrial PV 1,2017,PV,FIXED_TILT,180,20.0,,1.0,c-si
9q713t,Kern CA,35.759177,-119.348351,20734,Delano Land 1,2017,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9q713t,Kern CA,35.205168,-118.069512,1763686,RE Barren Ridge 1,2016,PV,SINGLE_AXIS,180,0.0,,62.0,c-si
9q713t,Kern CA,35.315109,-118.811155,419694,Redwood 4 Solar Farm,2017,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.21097,-119.387524,39783,Castor Solar,2016,PV,FIXED_TILT,180,25.0,batteries,1.5,c-si
9q713t,Kern CA,34.822187,-118.527993,5147747,RE Garland,2016,PV,SINGLE_AXIS,180,0.0,batteries,180.0,c-si
9q713t,Kern CA,35.141539,-117.964708,63433,Cal City Solar 1,2019,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q713t,Kern CA,35.777221,-119.308162,150131,North Kern State Prison Phase II,2012,PV,SINGLE_AXIS,180,0.0,,4.0,c-si
9q713t,Kern CA,35.157379,-117.983395,49408,California City,2018,PV,SINGLE_AXIS,180,0.0,batteries,1.9,c-si
9q713t,Kern CA,34.820843,-118.441155,481083,"Kingbird B Solar, LLC",2016,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9q713t,Kern CA,35.668165,-119.876218,410317,Wonderful Lost Hills,2021,PV,SINGLE_AXIS,180,,,16.7,
9q713t,Kern CA,35.423854,-119.628933,522003,"Rio Bravo Solar II, LLC",2016,PV,SINGLE_AXIS,179,0.0,,19.5,c-si
9q713t,Kern CA,35.328168,-118.82064,689462,Hayworth Solar,2015,PV,SINGLE_AXIS,180,0.0,,26.66,thin-film
9q713t,Kern CA,35.321135,-118.812196,536022,Redcrest Solar Farm,2015,PV,SINGLE_AXIS,180,0.0,batteries,16.66,thin-film
9q713t,Kern CA,34.844248,-118.446156,1655610,RE Astoria,2016,PV,SINGLE_AXIS,179,0.0,,100.0,c-si
9q713t,Kern CA,34.824081,-118.441196,480485,"Kingbird A Solar, LLC",2016,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9q713t,Kern CA,35.631892,-119.576691,419750,Wildwood Solar II,2017,PV,SINGLE_AXIS,180,0.0,,14.7,c-si
9q713t,Kern CA,35.021659,-118.28987,354355,"Windhub Solar A, LLC",2019,PV,SINGLE_AXIS,180,0.0,,20.0,thin-film
9q713t,Kern CA,34.870398,-118.366582,3500212,"North Rosamond Solar, LLC",2019,PV,SINGLE_AXIS,180,0.0,,150.0,thin-film
9q713t,Kern CA,35.728102,-119.896814,371861,Morelos del Sol,2015,PV,SINGLE_AXIS,180,0.0,,15.0,thin-film
9q713t,Kern CA,35.112311,-119.326746,527772,"Maricopa West Solar PV, LLC",2015,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.590715,-119.576132,454172,"Cottonwood Solar, LLC (Goose Lake)",2015,PV,SINGLE_AXIS,179,0.0,,12.0,thin-film
9q713t,Kern CA,34.926989,-118.357016,662706,"Catalina Solar 2, LLC",2015,PV,SINGLE_AXIS,180,0.0,,18.4,c-si
9q713t,Kern CA,35.450699,-119.127026,491967,"Shafter Solar, LLC",2015,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q713t,Kern CA,35.727086,-119.905588,260252,Coronal Lost Hills,2015,PV,SINGLE_AXIS,179,0.0,,20.0,c-si
9q713t,Kern CA,35.609422,-119.7013,741030,Chevron-Lost Hills Hybrid,2020,PV,SINGLE_AXIS,179,0.0,,29.0,c-si
9q713t,Kern CA,35.415837,-119.629409,497879,"Rio Bravo Solar 1, LLC",2016,PV,SINGLE_AXIS,179,0.0,,19.5,c-si
9q8yqr,San Francisco CA,37.750828,-122.483522,47445,Sunset Reservoir North Basin,2010,PV,FIXED_TILT,180,6.0,,4.5,c-si
9q92vz,Monterey CA,35.829895,-120.294871,2630566,"CA Flats Solar 150, LLC",2019,PV,SINGLE_AXIS,180,0.0,,150.0,thin-film
9q92vz,Monterey CA,36.708224,-121.76899,24227,Monterey Regional Water Pollution Control Agency,2010,PV,SINGLE_AXIS,195,0.0,,1.0,c-si
9q92vz,Monterey CA,35.872013,-120.339384,3112814,"CA Flats Solar 130, LLC",2017,PV,SINGLE_AXIS,180,0.0,batteries,130.0,thin-film
9q92vz,San Benito CA,36.629772,-120.891311,3272892,Panoche Valley Solar Farm,2018,PV,SINGLE_AXIS,180,0.0,,140.0,c-si
9q92vz,San Benito CA,36.831899,-121.404082,37230,"Enerparc CA1, LLC",2014,PV,FIXED_TILT,200,28.0,,1.5,c-si
9q92vz,San Benito CA,36.862421,-121.428902,52361,"Hollister Solar, LLC",2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q92vz,Monterey CA,36.614777,-121.634165,85968,D'Arrigo Brothers-Phase 4,2019,PV,SINGLE_AXIS,180,0.0,batteries,1.7,c-si
9q92vz,San Benito CA,36.875559,-121.603662,59016,Graniterock Quarry,2022,PV,FIXED_TILT,200,,,4.4,c-si
9q9fy1,Merced CA,37.018864,-120.961889,4196046,Wright Solar Park,2019,PV,SINGLE_AXIS,180,0.0,,200.0,c-si
9q9fy1,Merced CA,37.057787,-120.649009,50397,Sun Harvest Solar NDP1,2015,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q9fy1,Merced CA,36.989439,-120.878325,73205,Merced 1 PV,2018,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9q9fy1,Merced CA,37.267336,-120.483318,50986,"Mission Solar, LLC",2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q9fy1,Merced CA,37.268698,-120.483314,50425,"Merced Solar, LLC",2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q9fy1,Merced CA,37.120708,-121.038838,1376162,Quinto Solar PV Project,2015,PV,SINGLE_AXIS,180,0.0,,105.1,c-si
9q9fy1,Merced CA,36.928591,-120.805293,554705,Vega Solar,2015,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9q9fy1,Merced CA,37.350917,-120.50723,41711,2097 Helton Solar Project,2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9q9hq4,Santa Clara CA,37.286885,-121.814147,21370,Hellyer Solar Farm,2017,PV,FIXED_TILT,180,10.0,,2.2,c-si
9q9hq4,Santa Clara CA,37.228465,-121.738711,29517,Malech Solar Farm,2017,PV,FIXED_TILT,180,10.0,,3.1,c-si
9q9hq4,Santa Clara CA,37.268874,-121.861077,15573,Guadalupe Solar Farm,2018,PV,FIXED_TILT,180,10.0,,1.7,c-si
9q9m24,Alameda CA,37.633492,-122.139854,43424,City of Hayward WWTP,2010,PV,SINGLE_AXIS,180,0.0,batteries,1.6,c-si
9q9m24,Alameda CA,37.69203,-121.717394,43919,"Whitethorn Solar, LLC",2016,PV,FIXED_TILT,180,15.0,,3.3,c-si
9q9wtp,San Joaquin CA,38.042111,-120.936076,91922,Foothill Sanitary Landfill-Solar Array,2021,PV,SINGLE_AXIS,180,,,3.5,
9q9wtp,San Joaquin CA,38.121389,-121.140603,34393,Kettleman Solar Project,2014,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9q9wtp,San Joaquin CA,37.840203,-121.215228,15105,Manteca Land PV,2017,PV,FIXED_TILT,180,20.0,,1.0,c-si
9q9wtp,San Joaquin CA,38.135935,-121.148813,46875,Bear Creek Solar,2014,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9qbbed,Marin CA,38.156019,-122.566002,37218,Silveira Ranch Road Solar,2021,PV,FIXED_TILT,180,,,3.0,
9qbcde,Napa CA,38.160723,-122.213851,57332,American Canyon Solar,2019,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9qbcde,Napa CA,38.237461,-122.275553,48581,Soscol Ferry Solar,2020,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9qben2,Sonoma CA,38.194832,-122.663198,16490,Lavio Solar,2018,PV,FIXED_TILT,180,25.0,,1.0,c-si
9qben2,Sonoma CA,38.769502,-123.020736,14943,Cloverdale Solar Center,2019,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9qben2,Sonoma CA,38.774443,-123.017277,28302,Cloverdale Solar I,2014,PV,FIXED_TILT,180,25.0,,1.5,c-si
9qben2,Sonoma CA,38.539113,-122.815051,15838,Windsor Floating Solar,2020,PV,FIXED_TILT,180,12.0,,1.5,c-si
9qben2,Sonoma CA,38.583694,-122.864523,32693,"Dissigno Healdsburg FPV, LLC",2020,PV,FIXED_TILT,192,83.0,,3.0,c-si
9qben2,Sonoma CA,38.21671,-122.542807,13285,Stage Gulch Solar,2018,PV,FIXED_TILT,180,25.0,,0.8,c-si
9qc0p1,Contra Costa CA,37.920586,-121.755782,1561,CSD 2-Heritage High,2013,PV,FIXED_TILT,102,10.0,,1.3,c-si
9qc0p1,Contra Costa CA,37.847138,-121.616824,146625,Byron Highway Solar,2021,PV,SINGLE_AXIS,180,,,5.0,c-si
9qc0p1,Contra Costa CA,38.00172,-121.703675,24844,California PV Energy at ISD WWTP,2014,PV,FIXED_TILT,168,30.0,batteries,1.0,c-si
9qc0p1,Contra Costa CA,38.025122,-122.274498,17144,Bio-Rad,2020,PV,FIXED_TILT,180,,,2.4,c-si
9qc0p1,Contra Costa CA,37.94522,-122.378508,166053,Marin Clean Energy Solar One,2017,PV,SINGLE_AXIS,180,15.0,,10.5,c-si
9qc0p1,Contra Costa CA,38.019462,-121.86437,313232,"Columbia Solar Energy, LLC",2015,PV,FIXED_TILT,203,20.0,,19.2,c-si
9qc0p1,Contra Costa CA,37.972281,-121.720347,4717,CSD 2-Freedom High,2013,PV,FIXED_TILT,182,15.0,,1.1,c-si
9qc63x,Solano CA,38.097105,-122.140918,118969,Lake Herman,2021,PV,SINGLE_AXIS,180,,,5.0,
9qc63x,Solano CA,38.386449,-121.948811,91407,Genentech Vacaville Meter #1,2017,PV,FIXED_TILT,180,25.0,,6.1,c-si
9qc63x,Yolo CA,38.500651,-121.692985,37452,Grassland 1&2 Solar Project,2013,PV,DUAL_AXIS,180,,,2.5,c-si
9qc63x,Yolo CA,38.520977,-121.994077,60769,Putah Creek Solar Farm,2014,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9qc63x,Yolo CA,38.657468,-121.733703,37266,Yolo County Solar Project,2010,PV,DUAL_AXIS,180,,,1.0,c-si
9qc63x,Solano CA,38.325498,-121.98267,23533,CDCR (CA)-Solano State Prison,2013,PV,SINGLE_AXIS,180,0.0,,1.1,c-si
9qc63x,Solano CA,38.410856,-121.926425,52646,Vaca Dixon Solar Station,2009,PV,FIXED_TILT,180,30.0,,2.0,c-si
9qc63x,Solano CA,38.400022,-121.964362,13581,Mariani Packing Vacaville Solar,2008,PV,SINGLE_AXIS,100,0.0,,0.9,c-si
9qc63x,Solano CA,38.520096,-121.740353,213888,UC Davis South Campus,2015,PV,SINGLE_AXIS,180,0.0,,13.0,c-si
9qc63x,Solano CA,38.231937,-122.092698,28633,SunEdison Anheuser Busch Fairfield,2008,PV,SINGLE_AXIS,180,0.0,,0.9,c-si
9qc63x,Solano CA,38.400027,-121.962908,13669,Vacaville,2007,PV,FIXED_TILT,90,30.0,,1.0,c-si
9qc63x,Yolo CA,38.50153,-121.693001,41431,Grassland 3&4 Solar Project,2013,PV,DUAL_AXIS,180,,,2.5,c-si
9qc63x,Solano CA,38.301001,-121.965191,25896,North Bay Solar 1,2013,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9qcbq0,Stanislaus CA,37.248616,-121.108704,668157,Central 40,2021,PV,SINGLE_AXIS,180,,,40.0,c-si
9qcbq0,Stanislaus CA,37.366707,-121.151644,546820,"Frontier Solar, LLC",2016,PV,SINGLE_AXIS,180,0.0,,20.0,c-si
9qcbq0,Stanislaus CA,37.858419,-120.895417,40364,Robert O Schulz Solar Farm,2009,PV,DUAL_AXIS,180,,,1.3,"c-si,thin-film"
9qcbq0,Stanislaus CA,37.736402,-120.988417,488240,Axium Modesto Solar,2012,PV,SINGLE_AXIS,180,0.0,,25.8,c-si
9qcbq0,Tuolumne CA,37.890378,-120.525809,44261,Sonora 1,2013,PV,SINGLE_AXIS,180,0.0,,1.5,c-si
9qcbq0,Tuolumne CA,37.882971,-120.455445,50678,Sierra Pacific Chinese Camp,2023,PV,FIXED_TILT,175,,,3.6,c-si
9qcem3,Sacramento CA,38.70464,-121.47783,211374,Wildflower Solar 1,2020,PV,SINGLE_AXIS,180,0.0,,13.7,c-si
9qcem3,Sacramento CA,38.309456,-121.292343,115684,"RE McKenzie 5, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.304692,-121.292451,109723,"RE McKenzie 4, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.306491,-121.294925,200829,"RE McKenzie 2, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.304693,-121.289996,112474,"RE McKenzie 3, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.237911,-121.338061,63992,SMUD at Fleshman,2011,PV,FIXED_TILT,210,20.0,,2.9,thin-film
9qcem3,Sacramento CA,38.436229,-121.466262,74463,Sacramento Regional County Sanitation PV,2017,PV,SINGLE_AXIS,180,0.0,,3.5,c-si
9qcem3,Sacramento CA,38.338753,-121.431259,22853,SMUD at Lawrence,2011,PV,FIXED_TILT,210,20.0,,1.0,thin-film
9qcem3,Sacramento CA,38.700215,-121.586726,115432,SCDA Solar 1,2017,PV,SINGLE_AXIS,180,0.0,,6.8,c-si
9qcem3,Sacramento CA,38.309187,-121.290032,101355,"RE McKenzie 6, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.305711,-121.28454,210875,"RE McKenzie 1, LLC",2012,PV,SINGLE_AXIS,180,0.0,,30.0,c-si
9qcem3,Sacramento CA,38.253092,-121.279023,63137,SMUD at Van Conett,2011,PV,FIXED_TILT,210,20.0,,2.9,thin-film
9qcem3,Sacramento CA,38.469518,-121.182478,61409,"RE Dillard 1, LLC",2012,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9qcem3,Sacramento CA,38.463103,-121.180088,70069,"RE Dillard 3, LLC",2012,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9qcem3,Sacramento CA,38.466028,-121.178084,66488,"RE Dillard 2, LLC",2012,PV,SINGLE_AXIS,180,0.0,,3.0,c-si
9qcem3,Sacramento CA,38.28355,-121.461629,25596,Green Acres Solar Facility 2,2012,PV,SINGLE_AXIS,180,0.0,,0.9,c-si
9qcem3,Sacramento CA,38.282099,-121.465542,82056,Green Acres Solar Facility 1,2012,PV,SINGLE_AXIS,180,0.0,,2.8,c-si
9qcem3,Sacramento CA,38.516214,-121.475657,49506,"Solar Star California II, LLC",2012,PV,SINGLE_AXIS,180,0.0,,2.0,c-si
9qcem3,Sacramento CA,38.363565,-121.385352,391746,"RE Kammerer 1, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.347677,-121.41057,396637,"RE Bruceville 1, LLC",2012,PV,SINGLE_AXIS,180,0.0,,5.0,c-si
9qcem3,Sacramento CA,38.343177,-121.116734,201447,"Rancho Seco Solar, LLC",2016,PV,SINGLE_AXIS,180,0.0,,10.88,thin-film
9qcem3,Sacramento CA,38.450118,-121.164255,29197,"Sacramento Soleil, LLC",2008,PV,FIXED_TILT,205,45.0,,1.0,thin-film
9qcem3,Sacramento CA,38.56146,-121.259196,18548,FAA NorCal TRACON,2012,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9qcem3,Sacramento CA,38.644086,-121.172447,24358,Intel Folsom,2010,PV,SINGLE_AXIS,205,0.0,,1.0,c-si
9qcem3,Sacramento CA,38.36581,-121.414346,404740,SMUD at Grundman,2011,PV,FIXED_TILT,210,20.0,,18.0,thin-film
9qcem3,Sacramento CA,38.613694,-121.162278,38449,Aerojet I,2009,PV,SINGLE_AXIS,225,0.0,,3.0,c-si
9qcem3,Sacramento CA,38.611219,-121.168241,58630,Aerojet II,2010,PV,SINGLE_AXIS,225,0.0,,2.7,c-si
9qcem3,Sacramento CA,38.34787,-121.111904,1739195,"Rancho Seco Solar II, LLC",2020,PV,FIXED_TILT,211,,,160.0,c-si
9qcem3,Sacramento CA,38.554789,-121.417088,13758,Sacramento Fairbain Water Treatment Plant,2013,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
9qcem3,Sacramento CA,38.585226,-121.467197,12178,Sacramento (SMUD),2014,PV,FIXED_TILT,123,10.0,,1.5,c-si
9qcem3,Sacramento CA,38.515353,-121.401009,69878,Depot Park Solar System,2010,PV,SINGLE_AXIS,180,,,3.0,c-si
9qcggm,El Dorado CA,38.629169,-120.982653,25311,Deer Creek 2,2021,PV,FIXED_TILT,180,,,1.3,
9qcggm,El Dorado CA,38.69854,-120.830676,10325,El Dorado County,2021,PV,FIXED_TILT,180,,,1.5,
9qcggm,El Dorado CA,38.638284,-121.056063,38451,"El Dorado Solar, LLC",2021,PV,FIXED_TILT,180,,,1.5,
9qct8r,Sutter CA,39.291776,-121.669962,30713,2127 Harris Solar Project,2014,PV,SINGLE_AXIS,180,0.0,,1.3,c-si
9qd9xh,Madera CA,36.941045,-120.046435,25159,Madera Community Hospital,2011,PV,SINGLE_AXIS,180,0.0,,1.0,c-si
