system_id,geocode,Bus  Number,Bus  Name,latitude,longitude,county,state,tzoffset,azimuth,tilt,power,tracking,module_type,min_measured_date,max_measured_date,backtracking,mount_type
64,9qh8k2,2403,VALLEY,33.796667,-117.224444,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
65,9qhe90,2401,LUGO,34.369347,-117.368876,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
66,9qhh0n,2404,VINCENT,34.488498,-118.12147,9q5fsc,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
67,9qhkxd,2600,ADELANTO,34.552197,-117.437004,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
68,9qhsdk,2603,VICTORVL,34.565195,-117.32157,9mupxf,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
69,9qj152,2400,DEVERS,33.927377,-116.57522,9mvxbk,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
70,9qndpr,1403,PARKER,34.144722,-114.289722,9myzug,AZ,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
71,9qq5wv,2901,ELDORADO,35.799967,-115.012448,9qqnnb,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
72,9qqk6u,1301,MEAD,35.929472,-114.835922,9qqnnb,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
73,9qw0kp,1302,H ALLEN,36.649771,-115.134207,9qqnnb,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
74,9r0vxp,8001,OLINDA,40.382027,-122.384572,9r1h68,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
75,9r106e,3916,LOGAN CR,39.435504,-122.23327,9r0cq9,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
76,9r10zd,3912,GLENN,39.521944,-122.013889,9qcnfk,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
77,9r13pb,3905,TABLE MT,39.55548,-121.645379,9r198u,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
78,9r1867,3919,PALERMO,39.435556,-121.538056,9r198u,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
79,9r1jcf,3911,COTWDPGE,40.397712,-122.265115,9r1h68,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
80,9r321k,3906,ROUND MT,40.808138,-121.936762,9r1pyu,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
81,9r3wzq,4001,MALIN,42.004704,-121.318052,9r6hsg,CA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
82,9r4bc7,3701,SUMMIT,39.527222,-119.821944,9r5025,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
83,9r50xy,6401,TRACYSPP,39.499336,-119.188176,9r5025,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
84,9r88yx,4204,MERIDIAN,42.358895,-122.760172,9r8c22,OR,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
85,9r9uxw,4002,SUMMER L,43.016085,-120.953695,9rd7km,OR,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
86,9rb6wg,4203,WILLAMET,44.051652,-123.091142,9rb9gk,OR,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
87,9rcvn1,4004,GRIZZLY,44.481129,-121.01542,9rcvfx,OR,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
88,9rg8bx,4003,BURNS,43.767338,-118.797842,9rekur,OR,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
89,9rkf69,6403,VALMY,41.182805,-116.954457,9r7gxf,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
90,9rn2tf,6404,GONDER,39.476861,-114.70735,9rn21r,NV,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
