Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
67,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39209,35.017696,35.369809,-118.941786,9q5sgb,1641.19397,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
68,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.368286,35.036194,35.369809,-118.941786,9q5sgb,1391.847534,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
69,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.34729,35.057693,35.369809,-118.941786,9q5sgb,1266.033813,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
70,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357391,35.047195,35.369809,-118.941786,9q5sgb,1295.111572,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
71,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391586,35.022095,35.369809,-118.941786,9q5sgb,1660.146118,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
72,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39566,35.049759,35.369809,-118.941786,9q5sgb,1564.640137,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
73,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.396889,35.049496,35.369809,-118.941786,9q5sgb,1578.991333,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
74,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.387886,35.025394,35.369809,-118.941786,9q5sgb,1664.965088,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
75,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.370285,35.035095,35.369809,-118.941786,9q5sgb,1413.112915,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
76,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.357185,35.038094,35.369809,-118.941786,9q5sgb,1305.935791,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
77,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.382889,35.028595,35.369809,-118.941786,9q5sgb,1602.807129,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
78,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.39109,35.023296,35.369809,-118.941786,9q5sgb,1677.126099,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
79,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.373985,35.038593,35.369809,-118.941786,9q5sgb,1457.721558,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
80,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.371284,35.051395,35.369809,-118.941786,9q5sgb,1357.591064,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
