,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
57,3433,S,745.0,25.641,939.0,-562,1.0,3403,1426.0,0.0,0.2,0.0,0.0,1,1,100,1426.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3433,MC CALL,36.609214,-119.639632,9qdbm8
58,3531,CE,783.0,30.853,1004.0,-599,1.0,3501,1424.0,0.0,0.2,0.0,0.0,1,1,100,1424.0,0,1,1,,,,,,,,,,3531,FULTON,38.497952,-122.761324,9qben2
59,3531,NE,293.0,30.853,253.0,-181,1.0,3501,533.0,0.0,0.2,0.0,0.0,1,1,100,533.0,0,1,1,,,,,,,,,,3531,FULTON,38.497952,-122.761324,9qben2
60,3531,NH,13.0,13.0,13.0,-10,1.0,3501,24.0,0.0,0.2,0.0,0.0,1,1,100,24.0,0,1,1,,,,,,,,,,3531,FULTON,38.497952,-122.761324,9qben2
61,3631,NB,30.0,-14.0,20.0,-14,1.015,3601,96.0,0.0,0.2,0.0,0.0,1,1,100,96.0,0,1,1,,,,,,,,,,3631,HUMBOLDT,40.801944,-124.163611,9pr8ne
62,3631,NG,67.0,-33.095,74.0,-34,1.015,3601,210.0,0.0,0.2,0.0,0.0,1,1,100,210.0,0,1,1,,,,,,,,,,3631,HUMBOLDT,40.801944,-124.163611,9pr8ne
63,3731,NH,222.0,-121.0,200.0,-121,1.0,3701,400.0,0.0,0.2,0.0,0.0,1,1,100,243.0,0,1,1,,,,,,,,,,3731,SUMMIT,39.527222,-119.821944,9r4bc7
64,3831,NN,2108.0,-40.709,1175.0,-980,1.049,3801,2323.0,0.0,0.2,0.0,0.0,1,1,100,2323.0,0,1,1,,,,,,,,,,3831,DIABLO1,35.230747,-120.855104,9q603v
65,3835,ND,0.0,0.0,0.5,0,1.035,3805,100.0,0.0,0.2,0.0,0.0,1,0,100,0.0,-510,1,1,,,,,,,,,,3835,MIDWAY,35.408481,-119.456003,9q713t
66,3835,NG,229.0,28.865,662.0,-479,1.035,3805,2025.0,0.0,0.2,0.0,0.0,1,1,100,2025.0,0,1,1,,,,,,,,,,3835,MIDWAY,35.408481,-119.456003,9q713t
67,3835,S,150.0,28.865,500.0,-500,1.035,3805,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3835,MIDWAY,35.408481,-119.456003,9q713t
68,3836,DG,679.0,-6.822,476.0,-352,1.019,3806,1497.0,0.0,0.2,0.0,0.0,1,1,100,1497.0,0,1,1,,,,,,,,,,3836,MORROBAY,35.38543,-120.858669,9q613c
69,3931,NB,235.0,72.471,151.0,-115,1.07,3921,567.0,0.0,0.2,0.0,0.0,1,1,100,567.0,0,1,1,,,,,,,,,,3931,ROUND MT,40.808138,-121.936762,9r321k
