,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
1032.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.964672,0.33167,20.0,10.0,1.2,0.8
1034.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.964993,0.400343,20.0,10.0,1.2,0.8
1131.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.97131,-0.20316,20.0,3.0,1.2,0.8
1232.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.965797,0.48073,20.0,3.0,1.2,0.8
1331.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.967653,0.342939,20.0,3.0,1.2,0.8
1333.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.971675,-0.710455,20.0,9.0,1.2,0.8
1431.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,0.972365,-0.175401,20.0,3.0,1.2,0.8
2030.0,23.0,2.0,0.0,0.0,0.0,0.0,4.0,0.976877,2.23278,20.0,7.0,1.2,0.8
2130.0,25.0,2.0,0.0,0.0,0.0,0.0,2.0,0.968367,1.72393,20.0,2.0,1.2,0.8
2233.0,29.0,2.0,0.0,0.0,0.0,0.0,2.0,0.971534,2.03293,20.0,2.0,1.2,0.8
2332.0,32.0,2.0,0.0,0.0,0.0,0.0,2.0,0.96991,1.88304,20.0,2.0,1.2,0.8
2431.0,45.0,2.0,0.0,0.0,0.0,0.0,2.0,0.955063,1.6487,20.0,2.0,1.2,0.8
2438.0,47.0,2.0,0.0,0.0,0.0,0.0,2.0,0.959907,1.64887,20.0,2.0,1.2,0.8
2439.0,48.0,2.0,0.0,0.0,0.0,0.0,2.0,0.959692,1.61472,20.0,2.0,1.2,0.8
2434.0,46.0,2.0,0.0,0.0,0.0,0.0,2.0,0.948626,1.94213,20.0,2.0,1.2,0.8
2533.0,52.0,2.0,0.0,0.0,0.0,0.0,2.0,0.966032,1.77943,20.0,2.0,1.2,0.8
2634.0,77.0,2.0,0.0,0.0,0.0,0.0,2.0,0.94297,-0.729263,20.0,2.0,1.2,0.8
2621.0,74.0,1.0,113.407,99.1349,0.0,0.0,2.0,0.955859,2.07756,138.0,2.0,1.2,0.8
2638.0,79.0,2.0,0.0,0.0,0.0,0.0,2.0,0.956263,2.40323,20.0,2.0,1.2,0.8
2630.0,75.0,2.0,0.0,0.0,0.0,0.0,2.0,0.955961,2.74016,20.0,2.0,1.2,0.8
2631.0,76.0,2.0,0.0,0.0,0.0,0.0,2.0,0.956091,2.32965,20.0,2.0,1.2,0.8
2637.0,78.0,2.0,0.0,0.0,0.0,0.0,2.0,0.955863,2.22247,20.0,2.0,1.2,0.8
3133.0,87.0,2.0,0.0,0.0,0.0,0.0,2.0,0.919911,0.291168,20.0,2.0,1.2,0.8
3135.0,88.0,2.0,0.0,0.0,0.0,0.0,2.0,0.930533,2.07047,20.0,2.0,1.2,0.8
3234.0,94.0,2.0,0.0,0.0,0.0,0.0,2.0,0.918814,0.18346,20.0,2.0,1.2,0.8
3333.0,100.0,2.0,0.0,0.0,0.0,0.0,2.0,0.919071,0.342937,20.0,2.0,1.2,0.8
3432.0,106.0,2.0,0.0,0.0,0.0,0.0,2.0,0.928535,0.664321,20.0,2.0,1.2,0.8
3433.0,107.0,2.0,0.0,0.0,0.0,0.0,2.0,0.934081,2.28348,20.0,2.0,1.2,0.8
