Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
6302,LARAMIE,345,,1,1.0058,17.62,1.1,0.9,1.1,0.9,41.383369,-105.567246
6303,BRIDGER2,230,,1,1.03,80.28,1.1,0.9,1.1,0.9,42.083869,-108.529745
6304,LARAMIE,230,,1,0.9907,30.43,1.1,0.9,1.1,0.9,41.383369,-105.567246
6305,NAUGHTON,230,,1,1.06,79.54,1.1,0.9,1.1,0.9,41.826887,-110.64461
6333,BRIDGER,20,,2,1.0336,81.4,1.1,0.9,1.1,0.9,42.083869,-108.529745
6335,NAUGHT,20,,2,1.065,80.34,1.1,0.9,1.1,0.9,41.826887,-110.64461
6401,TRACYSPP,345,,1,1.0271,9.14,1.1,0.9,1.1,0.9,39.499336,-119.188176
6402,SUMITSPP,115,,1,1.0062,3.01,1.1,0.9,1.1,0.9,39.527222,-119.821944
6403,VALMY,345,,1,1.11,39.07,1.1,0.9,1.1,0.9,41.182805,-116.954457
6404,GONDER,345,,1,1.0539,31.64,1.1,0.9,1.1,0.9,39.476861,-114.70735
6433,VALMY,20,,2,1.1132,39.38,1.1,0.9,1.1,0.9,41.182805,-116.954457
6501,BENLOMND,345,,1,1.013,41.74,1.1,0.9,1.1,0.9,41.439081,-112.006907
6502,CAMP WIL,345,,1,1.0106,40.49,1.1,0.9,1.1,0.9,40.423164974,-112.007999968
6503,EMERY,345,,1,1.065,51.22,1.1,0.9,1.1,0.9,40.030278,-109.188333
6504,MONA,345,,1,1.0111,40.43,1.1,0.9,1.1,0.9,39.868637,-111.977164
6505,PINTO,345,,1,1.0367,34.9,1.1,0.9,1.1,0.9,37.870747,-109.314458
6506,PINTO PS,345,,1,1.035,31.35,1.1,0.9,1.1,0.9,37.870747,-109.314458
6507,SIGURD,345,,1,1.0245,39.66,1.1,0.9,1.1,0.9,38.887109,-111.917677
6508,SPAN FRK,345,,1,1.022,43.02,1.1,0.9,1.1,0.9,40.053045,-111.394196
6509,TERMINAL,345,,1,1.0116,40.53,1.1,0.9,1.1,0.9,40.772832,-111.846293
