fips,county,latitude,longitude,state
35059,Union,36.468186,-103.265891,NM
35061,Valencia,34.755709,-106.722815,NM
08001,Adams,39.876949,-104.920943,CO
08003,Alamosa,37.481888,-105.877629,CO
08005,Arapahoe,39.646582,-104.838574,CO
08007,Archuleta,37.240274,-107.089808,CO
08009,Baca,37.368105,-102.53204,CO
08011,Bent,38.072919,-103.166006,CO
08013,Boulder,40.062992,-105.180215,CO
08014,Broomfield,39.939871,-105.058131,CO
08015,Chaffee,38.676811,-106.085131,CO
08017,Cheyenne,38.817655,-102.470052,CO
08019,Clear Creek,39.713458,-105.532527,CO
08021,Conejos,37.199613,-105.987323,CO
08023,Costilla,37.29223,-105.444296,CO
08025,Crowley,38.193783,-103.856387,CO
08027,Custer,38.133198,-105.382527,CO
08029,Delta,38.798198,-107.913769,CO
08031,Denver,39.72486,-104.950033,CO
08033,Dolores,37.746934,-108.758724,CO
08035,Douglas,39.482023,-104.87357,CO
08037,Eagle,39.600516,-106.733421,CO
08039,Elbert,39.388552,-104.52311,CO
08041,El Paso,38.877314,-104.75212,CO
08043,Fremont,38.426941,-105.214303,CO
08045,Garfield,39.507103,-107.549019,CO
08047,Gilpin,39.856062,-105.483217,CO
08049,Grand,40.051143,-105.978501,CO
08051,Gunnison,38.660002,-106.944384,CO
08053,Hinsdale,38.002552,-107.29875,CO
08055,Huerfano,37.612538,-104.887584,CO
08057,Jackson,40.690192,-106.295485,CO
08059,Jefferson,39.72369,-105.130309,CO
08061,Kiowa,38.470085,-102.700966,CO
08063,Kit Carson,39.310418,-102.462031,CO
08065,Lake,39.244814,-106.30747,CO
08067,La Plata,37.266021,-107.803947,CO
08069,Larimer,40.504402,-105.089155,CO
08071,Las Animas,37.192053,-104.501324,CO
08073,Lincoln,39.180049,-103.614219,CO
08075,Logan,40.64034,-103.185977,CO
08077,Mesa,39.092942,-108.546673,CO
08079,Mineral,37.779142,-106.942063,CO
08081,Moffat,40.51606,-107.613977,CO
08083,Montezuma,37.371913,-108.554458,CO
08085,Montrose,38.481301,-107.922349,CO
08087,Morgan,40.254229,-103.789071,CO
08089,Otero,38.023236,-103.655776,CO
08091,Ouray,38.146044,-107.751894,CO
08093,Park,39.305737,-105.625362,CO
08095,Phillips,40.599356,-102.385877,CO
