name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Haynes power station,16,108,GT,2013,,33.764741,-118.0991,Los Angeles,California
Haynes power station,CC1,630,CC,2005,,33.764741,-118.0991,Los Angeles,California
Henrietta Peaker Project,1,95,GT,2002,,36.3491838188483,-119.784642615204,Kings,California
Hermiston generating plant,CC1,311,CC,1996,,45.8042,-119.37,Umatilla,Oregon
Hermiston generating plant,CC2,311,CC,1996,,45.8042,-119.37,Umatilla,Oregon
Hermiston power project,CC1,689,CC,2002,,45.794046,-119.3133,Umatilla,Oregon
Higgins generating station,PB1,688,CC,2004,,35.6139,-115.3561,Clark,Nevada
High Desert power plant,STG1,852,CC,2003,,34.5953,-117.3647,San Bernardino,California
Hobbs generating station,CC1,682,CC,2008,,32.728333,-103.3094,Lea,New Mexico
Humboldt Bay power station,IC,167,IC,2010,,40.7415,-124.2103,Humboldt,California
Huntington Beach generating station,2,218,ST,1958,,33.645618,-117.9794,Orange,California
Huntington Beach generating station,CCT1,699,CC,2020,,33.645618,-117.9794,Orange,California
Indigo energy facility,CTG1,50,GT,2001,,33.910873,-116.553,Riverside,California
Indigo energy facility,CTG2,50,GT,2001,,33.910873,-116.553,Riverside,California
Indigo energy facility,CTG3,50,GT,2001,,33.910873,-116.553,Riverside,California
Inland Empire energy center,1,410,CC,2009,2020,33.738839,-117.1704,Riverside,California
Inland Empire energy center,2,410,CC,2010,2020,33.738839,-117.1704,Riverside,California
Ivanpah 1 power station,ST1,126,ST,2013,,35.533056,-115.4525,San Bernardino,California
Ivanpah 2 power station,ST1,133,ST,2013,,35.556111,-115.4686,San Bernardino,California
Ivanpah 3 power station,ST1,133,ST,2013,,35.580833,-115.4825,San Bernardino,California
JM Shafer generating station,J272,397,CC,1994,,40.0986,-104.7736,Weld,Colorado
Kern River cogeneration power station,GTAG,75,GT,1985,,35.4515,-118.9849,Kern,California
Kern River cogeneration power station,GTBG,75,GT,1985,,35.4515,-118.9849,Kern,California
Kern River cogeneration power station,GTCG,75,GT,1985,,35.4515,-118.9849,Kern,California
Kern River cogeneration power station,GTDG,75,GT,1985,,35.4515,-118.9849,Kern,California
King City power plant,CC01,133,CC,1989,,36.225,-121.1278,Monterey,California
Klamath cogeneration plant,CC1,502,CC,2001,,42.173889,-121.8106,Klamath,Oregon
Kyrene power station,KY4,53,GT,1971,,33.3556,-111.9353,Maricopa,Arizona
Kyrene power station,KY5,60,GT,1973,,33.3556,-111.9353,Maricopa,Arizona
Kyrene power station,KY6,60,GT,1973,,33.3556,-111.9353,Maricopa,Arizona
Kyrene power station,KYS7,292,CC,2002,,33.3556,-111.9353,Maricopa,Arizona
La Paloma generating plant,GEN1,289,CC,2003,,35.2956,-119.5919,Kern,California
La Paloma generating plant,GEN2,289,CC,2003,,35.2956,-119.5919,Kern,California
La Paloma generating plant,GEN3,289,CC,2003,,35.2956,-119.5919,Kern,California
La Paloma generating plant,GEN4,289,CC,2003,,35.2956,-119.5919,Kern,California
Lake One power station,L1,61,GT,2002,,34.1772,-118.3147,Los Angeles,California
Lake Side power plant,CC1,657,CC,2007,,40.331667,-111.7542,Utah,Utah
Lake Side power plant,CC2,728,CC,2014,,40.331667,-111.7542,Utah,Utah
Langley Gulch power plant,LG1,319,CC,2012,,43.904444,-116.8197,Payette,Idaho
Larkspur energy facility,CTG1,50,GT,2001,,32.567041,-116.9442,San Diego,California
Larkspur energy facility,CTG2,50,GT,2001,,32.567041,-116.9442,San Diego,California
Las Vegas generating station,CCB1,61,CC,1994,,36.2319,-115.1222,Clark,Nevada
Las Vegas generating station,CCB2,149,CC,2003,,36.2319,-115.1222,Clark,Nevada
Las Vegas generating station,CCB3,149,CC,2003,,36.2319,-115.1222,Clark,Nevada
Limon generating station,L1,77,GT,2002,,39.2038,-103.7005,Lincoln,Colorado
Limon generating station,L2,77,GT,2002,,39.2038,-103.7005,Lincoln,Colorado
Lodi energy center,CC1,289,CC,2012,,38.088056,-121.3875,San Joaquin,California
Long Beach Generation power station,CT1,63,GT,1976,,33.7641,-118.2248,Los Angeles,California
Long Beach Generation power station,CT2,63,GT,1976,,33.7641,-118.2248,Los Angeles,California
Long Beach Generation power station,CT3,63,GT,1976,,33.7641,-118.2248,Los Angeles,California
Long Beach Generation power station,CT4,63,GT,1976,,33.7641,-118.2248,Los Angeles,California
Los Angeles Refinery Wilmington power station,G2,59,GT,1988,,33.7686,-118.2867,Los Angeles,California
Los Esteros Critical energy center,CC1,306,CC,2013,,37.425,-121.9319,Santa Clara,California
Los Medanos energy center,CC1,678,CC,2001,,38.030071,-121.873,Contra Costa,California
Luna energy facility,CC1,650,CC,2006,,32.299349,-107.7834,Luna,New Mexico
Maddox power station,1,114,ST,1967,,32.714224,-103.3015,Lea,New Mexico
Maddox power station,2,87,GT,1976,,32.714224,-103.3015,Lea,New Mexico
Magnolia power project,CC1,388,CC,2005,,34.1786,-118.3153,Los Angeles,California
Malaga power station,GT-1,61,GT,2005,,36.6697,-119.7404,Fresno,California
Malaga power station,GT-2,61,GT,2005,,36.6697,-119.7404,Fresno,California
Malburg power station,MGS,130,CC,2005,,33.9986,-118.2219,Los Angeles,California
Manchief Electric generating station,UN1,150,GT,2000,,40.217143,-103.685,Morgan,Colorado
Manchief Electric generating station,UN2,150,GT,2000,,40.217143,-103.685,Morgan,Colorado
Mariposa Energy Project,CTG1,50,GT,2012,,37.789167,-121.6019,Alameda,California
Mariposa Energy Project,CTG2,50,GT,2012,,37.789167,-121.6019,Alameda,California
Mariposa Energy Project,CTG3,50,GT,2012,,37.789167,-121.6019,Alameda,California
Mariposa Energy Project,CTG4,50,GT,2012,,37.789167,-121.6019,Alameda,California
Marsh Landing generating station,1,207,GT,2013,,38.016944,-121.765,Contra Costa,California
Marsh Landing generating station,2,207,GT,2013,,38.016944,-121.765,Contra Costa,California
Marsh Landing generating station,3,207,GT,2013,,38.016944,-121.765,Contra Costa,California
Marsh Landing generating station,4,207,GT,2013,,38.016944,-121.765,Contra Costa,California
Martin Drake Power Plant,7,132,ST,1974,2022,38.824444,-104.8333,El Paso,Colorado
Martinez Refining power station,CC1,100,CC,1996,,38.0169,-122.1117,Contra Costa,California
McClellan (CA) power station,1,77,GT,1986,,38.652731,-121.3933,Sacramento,California
McClure power station,1,71,GT,1980,,37.62936,-120.9314,Stanislaus,California
McClure power station,2,71,GT,1981,,37.62936,-120.9314,Stanislaus,California
